GAME_DATE,GAME_ID,OPPONENT,MATCHUP,HOME_GAME
2022-10-20,0022200015,PHI,MIL @ PHI,False
2022-10-22,0022200033,HOU,MIL vs. HOU,True
2022-10-26,0022200060,BKN,MIL vs. BKN,True
2022-10-28,0022200075,NYK,MIL vs. NYK,True
2022-10-29,0022200085,ATL,MIL vs. ATL,True
2022-10-31,0022200100,DET,MIL vs. DET,True
2022-11-02,0022200113,DET,MIL vs. DET,True
2022-11-04,0022200129,MIN,MIL @ MIN,False
2022-11-05,0022200136,OKC,MIL vs. OKC,True
2022-11-07,0022200149,ATL,MIL @ ATL,False
2022-11-09,0022200168,OKC,MIL @ OKC,False
2022-11-11,0022200180,SAS,MIL @ SAS,False
2022-11-14,0022200204,ATL,MIL vs. ATL,True
2022-11-16,0022200216,CLE,MIL vs. CLE,True
2022-11-18,0022200226,PHI,MIL @ PHI,False
2022-11-21,0022200251,POR,MIL vs. POR,True
2022-11-23,0022200267,CHI,MIL vs. CHI,True
2022-11-25,0022200280,CLE,MIL vs. CLE,True
2022-11-27,0022200298,DAL,MIL vs. DAL,True
2022-11-30,0022200316,NYK,MIL @ NYK,False
2022-12-02,0022200331,LAL,MIL vs. LAL,True
2022-12-03,0022200339,CHA,MIL @ CHA,False
2022-12-05,0022200353,ORL,MIL @ ORL,False
2022-12-07,0022200369,SAC,MIL vs. SAC,True
2022-12-09,0022200386,DAL,MIL @ DAL,False
2022-12-11,0022200401,HOU,MIL @ HOU,False
2022-12-13,0022200410,GSW,MIL vs. GSW,True
2022-12-15,0022200425,MEM,MIL @ MEM,False
2022-12-17,0022200442,UTA,MIL vs. UTA,True
2022-12-19,0022200457,NOP,MIL @ NOP,False
2022-12-21,0022200466,CLE,MIL @ CLE,False
2022-12-23,0022200483,BKN,MIL @ BKN,False
2022-12-25,0022200495,BOS,MIL @ BOS,False
2022-12-28,0022200519,CHI,MIL @ CHI,False
2022-12-30,0022200533,MIN,MIL vs. MIN,True
2023-01-01,0022200548,WAS,MIL vs. WAS,True
2023-01-03,0022200561,WAS,MIL vs. WAS,True
2023-01-04,0022200569,TOR,MIL @ TOR,False
2023-01-06,0022200583,CHA,MIL vs. CHA,True
2023-01-09,0022200607,NYK,MIL @ NYK,False
2023-01-11,0022200620,ATL,MIL @ ATL,False
2023-01-12,0022200628,MIA,MIL @ MIA,False
2023-01-14,0022200641,MIA,MIL @ MIA,False
2023-01-16,0022200657,IND,MIL vs. IND,True
2023-01-17,0022200665,TOR,MIL vs. TOR,True
2023-01-21,0022200695,CLE,MIL @ CLE,False
2023-01-23,0022200706,DET,MIL @ DET,False
2023-01-25,0022200723,DEN,MIL vs. DEN,True
2023-01-27,0022200736,IND,MIL @ IND,False
2023-01-29,0022200755,NOP,MIL vs. NOP,True
2023-01-31,0022200767,CHA,MIL vs. CHA,True
2023-02-02,0022200784,LAC,MIL vs. LAC,True
2023-02-04,0022200797,MIA,MIL vs. MIA,True
2023-02-06,0022200815,POR,MIL @ POR,False
2023-02-09,0022200834,LAL,MIL @ LAL,False
2023-02-10,0022200845,LAC,MIL @ LAC,False
2023-02-14,0022200869,BOS,MIL vs. BOS,True
2023-02-16,0022200883,CHI,MIL @ CHI,False
2023-02-24,0022200897,MIA,MIL vs. MIA,True
2023-02-26,0022200910,PHX,MIL vs. PHX,True
2023-02-28,0022200924,BKN,MIL @ BKN,False
2023-03-01,0022200939,ORL,MIL vs. ORL,True
2023-03-04,0022200960,PHI,MIL vs. PHI,True
2023-03-05,0022200973,WAS,MIL @ WAS,False
2023-03-07,0022200978,ORL,MIL @ ORL,False
2023-03-09,0022200995,BKN,MIL vs. BKN,True
2023-03-11,0022201012,GSW,MIL @ GSW,False
2023-03-13,0022201026,SAC,MIL @ SAC,False
2023-03-14,0022201033,PHX,MIL @ PHX,False
2023-03-16,0022201045,IND,MIL vs. IND,True
2023-03-19,0022201068,TOR,MIL vs. TOR,True
2023-03-22,0022201089,SAS,MIL vs. SAS,True
2023-03-24,0022201102,UTA,MIL @ UTA,False
2023-03-25,0022201109,DEN,MIL @ DEN,False
2023-03-27,0022201122,DET,MIL @ DET,False
2023-03-29,0022201136,IND,MIL @ IND,False
2023-03-30,0022201146,BOS,MIL vs. BOS,True
2023-04-02,0022201174,PHI,MIL vs. PHI,True
2023-04-04,0022201179,WAS,MIL @ WAS,False
2023-04-05,0022201193,CHI,MIL vs. CHI,True
2023-04-07,0022201208,MEM,MIL vs. MEM,True
2023-04-09,0022201221,TOR,MIL @ TOR,False
