index,gameNum,gameId,isHome,period,clockStart,duration,scoreHome,scoreAway,scoreDiffStart,pointsScored,pointsAllowed,foulsCommitted,foulsDrawn,pointsLast3,pointsLast5,leadChange,shotDistance,runMagnitude,oRebsGrabbed,oRebsAllowed,timeouts,timeoutsOpp,result,season
3,1,0022200015,v,1,720.0,16.0,0,0,0,0,0,0,0,0,0,False,0.0,0,0,0,0,0,Opp Defensive Rebound,2022-23
4,1,0022200015,v,1,704.0,8.0,2,0,0,0,2,0,0,0,0,True,14.0,-2,0,0,0,0,Opp Made FG,2022-23
5,1,0022200015,v,1,696.0,15.0,2,2,-2,2,0,0,0,2,2,False,23.0,2,0,0,0,0,Made FG,2022-23
9,1,0022200015,v,1,681.0,19.0,4,2,0,0,2,1,0,2,2,True,1.0,-2,0,0,0,0,Defensive Rebound,2022-23
10,1,0022200015,v,1,662.0,11.0,4,5,-2,3,0,0,0,5,5,True,28.0,3,0,0,0,0,Made FG,2022-23
12,1,0022200015,v,1,651.0,28.0,4,5,1,0,0,0,0,3,5,False,27.0,3,0,0,0,0,Defensive Rebound,2022-23
13,1,0022200015,v,1,623.0,7.0,4,7,1,2,0,0,0,5,7,False,21.0,5,0,0,0,0,Made FG,2022-23
14,1,0022200015,v,1,616.0,11.0,6,7,3,0,2,0,0,2,5,False,7.0,-2,0,0,0,0,Opp Made FG,2022-23
15,1,0022200015,v,1,605.0,15.0,6,10,1,3,0,0,0,5,8,False,27.0,3,0,0,0,0,Made FG,2022-23
18,1,0022200015,v,1,590.0,21.0,8,10,4,0,2,0,0,3,5,False,9.0,-2,0,1,0,0,Opp Made FG,2022-23
20,1,0022200015,v,1,569.0,29.0,8,10,2,0,0,0,0,3,5,False,13.0,-2,0,0,0,0,Opp Defensive Rebound,2022-23
22,1,0022200015,v,1,540.0,11.0,8,10,2,0,0,0,0,0,3,False,15.0,-2,0,0,0,0,Defensive Rebound,2022-23
25,1,0022200015,v,1,529.0,5.0,8,13,2,3,0,0,1,3,6,False,3.0,3,0,0,0,0,Made FT,2022-23
27,1,0022200015,v,1,524.0,26.0,11,13,5,0,3,1,0,3,3,False,25.0,-3,0,0,0,0,Opp Made FG,2022-23
29,1,0022200015,v,1,498.0,17.0,11,16,2,3,0,0,1,6,6,False,0.0,3,0,0,0,0,Made FG,2022-23
30,1,0022200015,v,1,481.0,28.0,11,16,5,0,0,0,0,3,6,False,,3,0,0,0,0,Opp Turnover,2022-23
32,1,0022200015,v,1,453.0,3.0,11,18,5,2,0,0,0,5,8,False,1.0,5,0,0,0,0,Made FG,2022-23
37,1,0022200015,v,1,450.0,27.0,11,18,7,0,0,0,0,2,5,False,27.0,5,1,0,0,0,Opp Defensive Rebound,2022-23
39,1,0022200015,v,1,423.0,8.0,11,18,7,0,0,0,0,2,5,False,25.0,5,0,0,0,0,Defensive Rebound,2022-23
41,1,0022200015,v,1,415.0,13.0,11,18,7,0,0,0,0,0,2,False,,5,0,0,1,0,Turnover,2022-23
45,1,0022200015,v,1,402.0,23.0,11,18,7,0,0,1,0,0,2,False,2.0,5,0,0,0,0,Defensive Rebound,2022-23
47,1,0022200015,v,1,379.0,14.0,11,18,7,0,0,0,0,0,0,False,6.0,5,0,0,0,0,Opp Defensive Rebound,2022-23
